Matchplayed,tpoints,mostpoints,notout,traids,successraidspercent,noofsuperraids,super10,traidpoints,avgraidpointspermatch,supertackle,high5s,totaltacklepoints,avgtackperm,totaltackle,totalstrike,name,team,year
,,,,,,,,,,,,,,,,,,
16,80,16,82.55,149,52.34,3,3,78,4.87,1,0,2,0.06,10,20,prashanth,hs,2017
,,,,,,,,,,,,,,,,,,
9,19,10,76.92,39,48.71,2,1,19,2.11,0,0,0,0,0,0,prashanth,hs,2016
,,,,,,,,,,,,,,,,,,
13,12,3,68.57,35,34.28,0,0,12,0.92,0,0,0,0,4,0,prashanth,hs,2015
,,,,,,,,,,,,,,,,,,
15,58,10,82.07,106,50.94,1,1,54,3.6,1,0,4,0.2,10,40,prashanth,hs,2014
,,,,,,,,,,,,,,,,,,
7,5,2,76.92,13,38.46,0,0,5,0.71,0,0,0,0,8,0,prashanth,hs,2013
,,,,,,,,,,,,,,,,,,
15,41,11,76.82,82,46.34,3,1,38,2.53,0,0,3,0.2,9,33.33,selvamani,hs,2018
,,,,,,,,,,,,,,,,,,
3,4,2,57.14,14,28.57,0,0,4,1.33,0,0,0,0,0,0,selvamani,hs,2017
,,,,,,,,,,,,,,,,,,
13,45,7,82.07,106,42.45,1,0,45,3.46,0,0,0,0,8,0,selvamani,hs,2016
,,,,,,,,,,,,,,,,,,
8,39,10,83.69,92,41.3,1,1,38,4.75,0,0,1,0.12,6,16.66,selvamani,hs,2015
,,,,,,,,,,,,,,,,,,
10,14,5,79.16,24,58.33,1,0,14,1.4,0,0,0,0,2,0,selvamani,hs,2014
,,,,,,,,,,,,,,,,,,
22,177,15,77.23,347,49.56,5,6,172,7.81,0,0,5,0.22,18,27.77,vikashk,hs,2018
,,,,,,,,,,,,,,,,,,
9,58,9,78.67,136,42.64,1,0,58,6.44,0,0,0,0,4,0,vikashk,hs,2017
,,,,,,,,,,,,,,,,,,
4,3,3,70.58,17,17.64,0,0,3,0.75,0,0,0,0,2,0,vikashk,hs,2016
,,,,,,,,,,,,,,,,,,
22,40,6,100,2,0,0,0,0,0,7,2,40,1.5,96,41.66,ravihas,hs,2018
,,,,,,,,,,,,,,,,,,
23,30,4,100,2,0,0,0,0,0,2,0,30,1.21,68,44.11,ravihas,hs,2017
,,,,,,,,,,,,,,,,,,
5,0,0,100,5,0,0,0,0,0,0,0,0,0,9,0,ravihas,hs,2016
,,,,,,,,,,,,,,,,,,
12,9,2,0,1,0,0,0,0,0,1,0,9,0.66,24,37.5,ravihas,hs,2015
,,,,,,,,,,,,,,,,,,
